Rep	Species	CraySize	Rate	lnRate	Biomass	lnBiomass
19	HE	17.8	1.8125	1.034073768	0.79893942	0.58719728
20	HE	12.8	0.75	0.559615788	0.330595622	0.285626678
21	HE	16.6	1.375	0.864997437	0.606091974	0.473803883
22	HE	12.6	0	0	0	0
23	HE	23	6	1.945910149	2.644764978	1.293291885
24	HE	20.2	1.8125	1.034073768	0.79893942	0.58719728
25	HE	19.2	1.75	1.011600912	0.771389785	0.571764428
26	HE	15.9	1.4375	0.890972924	0.633641609	0.490811639
27	HE	10.1	0.625	0.485507816	0.275496352	0.243335398
28	HE	11.7	1.875	1.056052674	0.826489056	0.602395575
29	HE	14.4	2	1.098612289	0.881588326	0.632116274
30	HE	13.3	1.1875	0.782759339	0.523443069	0.42097295
31	HE	22.2	6.3125	1.989585213	2.782513154	1.330388644
32	HE	24.6	3.125	1.41706602	1.377481759	0.866041843
33	HE	24.2	5.5	1.871802177	2.424367897	1.230916899
34	HE	14.1	1.75	1.011600912	0.771389785	0.571764428
35	HE	21.5	4.6875	1.738270784	2.066222639	1.120446393
36	HE	23.5	8.5625	2.257849199	3.774300021	1.563247371
37	LE	22.1	1.125	0.753771802	3.069642858	1.403555246
38	LE	15.6	0.125	0.117783036	0.341071429	0.293468868
39	LE	14.3	0.4375	0.362905494	1.19375	0.785612408
40	LE	16.8	0.1875	0.171850257	0.511607143	0.413173418
41	LE	13.7	0	0	0	0
42	LE	18.9	0.5625	0.446287103	1.534821429	0.930123192
43	LE	12.2	0.125	0.117783036	0.341071429	0.293468868
44	LE	17.5	0.25	0.223143551	0.682142857	0.520068491
45	LE	18.3	0.4375	0.362905494	1.19375	0.785612408
46	LE	12.4	0	0	0	0
47	LE	20.4	0.1875	0.171850257	0.511607143	0.413173418
48	LE	15	0.125	0.117783036	0.341071429	0.293468868
49	LE	21.9	0.625	0.485507816	1.705357143	0.995233934
50	LE	24.5	1.0625	0.723918839	2.899107143	1.360747589
51	LE	15.6	0.9375	0.661398482	2.558035715	1.269208627
52	LE	21.2	1.0625	0.723918839	2.899107143	1.360747589
