Rep	Species	CraySize	Rate	lnRate	Biomass	lnBiomass
19	HE	17.8	1.8125	1.034073768	0.79893942	0.58719728
20	HE	12.8	0.75	0.559615788	0.330595622	0.285626678
21	HE	16.6	1.375	0.864997437	0.606091974	0.473803883
22	HE	12.6	0	0	0	0
23	HE	23	6	1.945910149	2.644764978	1.293291885
24	HE	20.2	1.8125	1.034073768	0.79893942	0.58719728
25	HE	19.2	1.75	1.011600912	0.771389785	0.571764428
26	HE	15.9	1.4375	0.890972924	0.633641609	0.490811639
27	HE	10.1	0.625	0.485507816	0.275496352	0.243335398
28	HE	11.7	1.875	1.056052674	0.826489056	0.602395575
29	HE	14.4	2	1.098612289	0.881588326	0.632116274
30	HE	13.3	1.1875	0.782759339	0.523443069	0.42097295
31	HE	22.2	6.3125	1.989585213	2.782513154	1.330388644
32	HE	24.6	3.125	1.41706602	1.377481759	0.866041843
33	HE	24.2	5.5	1.871802177	2.424367897	1.230916899
34	HE	14.1	1.75	1.011600912	0.771389785	0.571764428
35	HE	21.5	4.6875	1.738270784	2.066222639	1.120446393
36	HE	23.5	8.5625	2.257849199	3.774300021	1.563247371
