Rep	Species	CraySize	Rate	lnRate	Biomass	lnBiomass
19	HE	17.8	1.8125	1.034073768	0.79893942	0.58719728
20	HE	12.8	0.75	0.559615788	0.330595622	0.285626678
21	HE	16.6	1.375	0.864997437	0.606091974	0.473803883
22	HE	12.6	0	0	0	0
23	HE	23	6	1.945910149	2.644764978	1.293291885
24	HE	20.2	1.8125	1.034073768	0.79893942	0.58719728
25	HE	19.2	1.75	1.011600912	0.771389785	0.571764428
26	HE	15.9	1.4375	0.890972924	0.633641609	0.490811639
27	HE	10.1	0.625	0.485507816	0.275496352	0.243335398
28	HE	11.7	1.875	1.056052674	0.826489056	0.602395575
29	HE	14.4	2	1.098612289	0.881588326	0.632116274
30	HE	13.3	1.1875	0.782759339	0.523443069	0.42097295
31	HE	22.2	6.3125	1.989585213	2.782513154	1.330388644
32	HE	24.6	3.125	1.41706602	1.377481759	0.866041843
33	HE	24.2	5.5	1.871802177	2.424367897	1.230916899
34	HE	14.1	1.75	1.011600912	0.771389785	0.571764428
35	HE	21.5	4.6875	1.738270784	2.066222639	1.120446393
36	HE	23.5	8.5625	2.257849199	3.774300021	1.563247371
1	HN	20.6	0.125	0.117783036	0.355357143	0.304064994
2	HN	16.2	0	0	0	0
3	HN	19.7	0.0625	0.060624622	0.177678571	0.163545188
4	HN	14.4	0.0625	0.060624622	0.177678571	0.163545188
5	HN	18.3	0.1875	0.171850257	0.533035714	0.427249897
6	HN	17.1	0.3125	0.271933715	0.888392857	0.635726127
7	HN	15.5	0.0625	0.060624622	0.177678571	0.163545188
8	HN	19.8	0.3125	0.271933715	0.888392857	0.635726127
9	HN	23.7	0.4375	0.362905494	1.24375	0.808148573
10	HN	17.9	0.0625	0.060624622	0.177678571	0.163545188
11	HN	13.8	0	0	0	0
12	HN	19	0.0625	0.060624622	0.177678571	0.163545188
13	HN	24.9	0.25	0.223143551	0.710714286	0.536910994
14	HN	17.6	0.0625	0.060624622	0.177678571	0.163545188
15	HN	15.9	0.1875	0.171850257	0.533035714	0.427249897
16	HN	24.3	1.125	0.753771802	3.198214286	1.434659265
17	HN	16.5	0.8125	0.594707108	2.309821429	1.196894239
